Date,AQI,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
11/8/2020,381,236.9476268,279.9076502,42.4670969,43.19996536,48.46395461,44.61575609,1.641304061,13.69886182,46.19981305,4.161106918,21.49871833,1.06362214
11/9/2020,388,234.2693147,280.0069158,45.3054036,45.83152107,52.33160565,44.86508544,1.565335329,13.89942169,45.32364752,4.197451338,21.79806353,1.009727132
11/10/2020,346,233.0898261,283.0741347,45.11295304,47.44332831,53.13212311,44.69851747,1.528281597,13.41230649,44.42272662,4.427244037,23.21089374,1.070460348
11/11/2020,328,231.3796945,284.1065168,45.5293655,48.00155009,53.31339292,44.62666641,1.514482723,13.66864935,43.73880207,4.466774909,23.11428729,1.001517482
11/12/2020,291,229.608706,284.2632689,46.88802413,47.3211306,54.29500952,43.96831269,1.56033045,13.33802936,43.217562,4.61181568,23.65661222,1.076514791
11/13/2020,396,223.5922728,278.9239152,44.23011754,46.12070493,52.41231478,43.12736423,1.403481255,13.10575367,41.97424117,4.44880662,22.80210421,1.136496086
11/14/2020,297,216.3305108,265.8964318,44.53057857,45.17095552,51.28365419,43.11950175,1.360869883,12.51071323,38.8661747,4.363787742,22.10125263,0.950866463
11/15/2020,345,209.4977672,258.4561501,43.59449268,43.17824352,49.68584412,42.59866799,1.398365855,12.5255408,38.97917294,4.137220307,20.70842167,0.933145856
11/16/2020,296,201.9600055,255.4119768,47.20094991,45.63003379,54.5620522,42.56450771,1.296260428,12.74878212,38.37462115,4.158831106,21.1828013,0.924965406
11/17/2020,319,196.5191592,255.6603453,47.73052963,47.06271086,56.32022813,42.18681417,1.23880621,12.29324985,37.81253972,4.375668375,22.77002647,1.030385061
11/18/2020,282,191.204155,254.2227321,48.79971383,47.43960505,57.37546849,41.97632622,1.21097784,12.58732817,37.52018122,4.403793289,22.841931,1.003975189
11/19/2020,352,186.5310311,252.2796477,50.72106303,46.57317822,59.1167907,41.25044211,1.249688897,12.2979653,37.4281089,4.538748826,23.54190805,1.118319374
11/20/2020,338,178.3484931,245.2287328,48.51780806,45.18005731,57.85201942,40.41028478,1.092989358,12.10803254,36.63625271,4.366754851,22.8296071,1.213548971
11/21/2020,321,169.676456,230.8926802,49.1502566,44.02949972,57.17581009,40.46748523,1.058066358,11.55424803,33.98690599,4.273647077,22.25142862,1.058300599
11/22/2020,295,162.195329,222.5579382,48.41257505,41.82711489,55.84578208,40.07083891,1.11089087,11.60739236,34.55152748,4.039705477,20.95824061,1.065488998
11/23/2020,344,154.7634539,219.0407444,52.07690982,44.06035707,60.79094465,40.21393632,1.031698098,11.86452499,34.37824082,4.054504422,21.50640938,1.076317704
11/24/2020,337,150.1618026,219.2409072,52.52102993,45.26638401,62.41053815,40.05981715,1.004523999,11.43737036,34.21525574,4.264973207,23.13948101,1.194605545
11/25/2020,355,146.3856243,218.1791722,53.36278284,45.41009859,63.11666185,40.11198522,1.013966454,11.75364059,34.27977768,4.287090762,23.22797833,1.174871558
11/26/2020,371,143.9054492,217.031085,54.92019639,44.30632167,64.30115641,39.68034368,1.096406334,11.48003204,34.49434159,4.416356263,23.91478429,1.289835386
11/27/2020,414,138.5137685,211.1849872,52.22588294,42.67478384,62.28044063,39.158478,0.989212713,11.29957424,33.95305969,4.238984405,23.15984116,1.379943857
